longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,median_house_value,ocean_proximity
-119.94,38.92,24.0,1258.0,216.0,235.0,96.0,4.6,136800.0,INLAND
-119.98,38.94,23.0,1564.0,298.0,339.0,147.0,4.0417,99300.0,INLAND
-119.92,38.91,15.0,3831.0,625.0,984.0,328.0,5.0718,162500.0,INLAND
-119.83,36.72,28.0,60.0,10.0,46.0,13.0,4.35,67500.0,INLAND
-119.69,36.75,6.0,1926.0,303.0,965.0,316.0,4.7463,93100.0,INLAND
-119.69,36.75,13.0,2343.0,409.0,1347.0,405.0,4.0027,93100.0,INLAND
-119.67,36.73,27.0,2845.0,417.0,1219.0,460.0,4.9196,117900.0,INLAND
-119.69,36.73,30.0,2437.0,349.0,1005.0,380.0,7.2211,171700.0,INLAND
-119.69,36.71,25.0,556.0,79.0,249.0,71.0,4.4583,108300.0,INLAND
-119.72,36.72,15.0,1713.0,246.0,766.0,232.0,6.8162,127200.0,INLAND
-119.71,36.73,19.0,3972.0,585.0,1586.0,560.0,5.2608,151400.0,INLAND
-119.89,36.76,17.0,1987.0,335.0,1152.0,313.0,4.1719,126400.0,INLAND
-119.88,36.85,8.0,2580.0,372.0,1111.0,393.0,7.5,256200.0,INLAND
-119.87,36.83,4.0,4833.0,784.0,2088.0,789.0,5.1781,122500.0,INLAND
-119.85,36.83,15.0,2563.0,335.0,1080.0,356.0,6.7181,160300.0,INLAND
-119.85,36.83,11.0,2497.0,427.0,1101.0,405.0,4.8036,141600.0,INLAND
-119.86,36.82,12.0,1488.0,253.0,675.0,223.0,4.7622,89300.0,INLAND
-119.85,36.82,15.0,1387.0,236.0,638.0,195.0,5.5842,88900.0,INLAND
-119.85,36.82,16.0,1852.0,274.0,887.0,286.0,5.5405,119300.0,INLAND
-119.88,36.83,2.0,4055.0,735.0,1730.0,654.0,4.2132,96500.0,INLAND
-119.87,36.81,6.0,1891.0,341.0,969.0,330.0,4.6726,107800.0,INLAND
-119.84,36.85,8.0,3791.0,487.0,1424.0,475.0,10.5144,345900.0,INLAND
-119.85,36.84,12.0,2272.0,304.0,840.0,305.0,8.9669,213900.0,INLAND
-119.84,36.84,12.0,2396.0,290.0,863.0,258.0,8.7716,229200.0,INLAND
-119.84,36.83,17.0,2273.0,298.0,700.0,263.0,6.8645,195900.0,INLAND
-119.83,36.83,14.0,2351.0,341.0,1128.0,363.0,6.9903,141200.0,INLAND
-119.82,36.83,14.0,2982.0,412.0,1408.0,423.0,5.3241,123000.0,INLAND
-119.84,36.83,17.0,3012.0,408.0,987.0,362.0,7.4201,229700.0,INLAND
-119.82,36.83,16.0,2868.0,376.0,1016.0,379.0,6.1175,144700.0,INLAND
-119.84,36.82,17.0,2807.0,376.0,996.0,353.0,5.5357,167700.0,INLAND
-119.83,36.82,14.0,1087.0,165.0,365.0,176.0,7.2909,155600.0,INLAND
-119.82,36.82,28.0,2268.0,336.0,752.0,330.0,5.2809,151500.0,INLAND
-119.82,36.81,25.0,3305.0,551.0,1149.0,500.0,5.0698,150900.0,INLAND
-119.84,36.81,18.0,2789.0,378.0,937.0,364.0,7.7062,188300.0,INLAND
-119.78,36.86,10.0,2902.0,363.0,1200.0,363.0,8.3608,187300.0,INLAND
-119.77,36.86,7.0,4139.0,544.0,1843.0,562.0,8.2737,193500.0,INLAND
-119.77,36.85,8.0,1519.0,234.0,711.0,248.0,5.9897,123600.0,INLAND
-119.77,36.84,15.0,1924.0,262.0,848.0,277.0,5.3886,125300.0,INLAND
-119.78,36.86,8.0,3468.0,675.0,1604.0,626.0,4.2071,128300.0,INLAND
-119.81,36.85,17.0,2340.0,370.0,1174.0,396.0,4.2304,94400.0,INLAND
-119.82,36.84,7.0,2289.0,342.0,1077.0,354.0,5.4868,158800.0,INLAND
-119.81,36.83,19.0,6789.0,1200.0,2325.0,1109.0,4.049,126000.0,INLAND
-119.81,36.83,10.0,5780.0,922.0,2712.0,883.0,5.6445,135500.0,INLAND
-119.8,36.83,17.0,1560.0,261.0,709.0,258.0,4.3315,95800.0,INLAND
-119.81,36.81,33.0,3972.0,594.0,1324.0,561.0,5.4513,143300.0,INLAND
-119.8,36.8,43.0,1951.0,288.0,725.0,308.0,6.3359,169300.0,INLAND
-119.81,36.8,38.0,2252.0,325.0,777.0,314.0,6.1575,160100.0,INLAND
-119.8,36.79,45.0,1337.0,187.0,471.0,187.0,5.187,153800.0,INLAND
-119.79,36.81,33.0,1461.0,261.0,494.0,254.0,4.25,132200.0,INLAND
-119.78,36.83,18.0,4164.0,741.0,1817.0,681.0,4.2153,95200.0,INLAND
-119.76,36.83,22.0,2803.0,438.0,1234.0,457.0,4.5179,99600.0,INLAND
-119.76,36.83,20.0,3214.0,446.0,1360.0,463.0,5.2595,110900.0,INLAND
-119.77,36.83,19.0,3237.0,507.0,1378.0,510.0,4.7804,101100.0,INLAND
-119.77,36.83,16.0,2360.0,355.0,1034.0,359.0,5.0635,108500.0,INLAND
-119.76,36.83,17.0,3690.0,628.0,1888.0,601.0,4.0196,84200.0,INLAND
-119.75,36.83,15.0,2793.0,436.0,1411.0,441.0,4.9292,109400.0,INLAND
-119.74,36.83,14.0,4675.0,829.0,2235.0,787.0,4.1098,108200.0,INLAND
-119.77,36.91,3.0,7520.0,1143.0,2878.0,1077.0,5.3272,174200.0,INLAND
-119.75,36.87,3.0,13802.0,2244.0,5226.0,1972.0,5.0941,143700.0,INLAND
-119.71,36.88,17.0,2236.0,315.0,992.0,312.0,6.9405,165200.0,INLAND
-119.69,36.85,20.0,2655.0,432.0,1081.0,379.0,4.5398,143100.0,INLAND
-119.67,36.89,15.0,2373.0,364.0,1280.0,386.0,5.308,167500.0,INLAND
-119.73,36.83,8.0,3602.0,,1959.0,580.0,5.3478,138800.0,INLAND
-119.73,36.83,14.0,3348.0,491.0,1584.0,493.0,5.0828,111400.0,INLAND
-119.69,36.83,8.0,943.0,189.0,475.0,155.0,4.9327,89500.0,INLAND
-119.67,36.83,3.0,2029.0,336.0,1003.0,340.0,4.4356,111300.0,INLAND
-119.67,36.83,4.0,2145.0,334.0,1024.0,308.0,5.0864,113700.0,INLAND
-119.68,36.83,11.0,2455.0,344.0,1110.0,339.0,6.1133,120000.0,INLAND
-119.67,36.82,2.0,2579.0,376.0,1133.0,342.0,4.5577,123300.0,INLAND
-119.67,36.81,4.0,1262.0,216.0,622.0,199.0,4.9432,114400.0,INLAND
-119.68,36.81,13.0,2589.0,413.0,1356.0,435.0,5.0253,106200.0,INLAND
-119.69,36.82,15.0,3303.0,512.0,1687.0,505.0,4.81,93600.0,INLAND
-119.69,36.81,15.0,2892.0,496.0,1634.0,501.0,4.4934,88000.0,INLAND
-119.68,36.8,7.0,2855.0,518.0,1748.0,498.0,4.2066,88400.0,INLAND
-119.67,36.8,9.0,3712.0,508.0,1632.0,474.0,6.011,163100.0,INLAND
-119.69,36.79,5.0,2613.0,476.0,1490.0,481.0,4.0993,83000.0,INLAND
-119.68,36.77,21.0,1260.0,182.0,583.0,205.0,6.0132,150800.0,INLAND
-119.64,36.85,15.0,2397.0,353.0,1258.0,347.0,4.9904,157300.0,INLAND
-119.64,36.82,14.0,4872.0,656.0,2085.0,617.0,5.6739,173800.0,INLAND
-119.63,36.79,19.0,1317.0,189.0,517.0,187.0,4.526,148700.0,INLAND
-119.63,36.76,22.0,4126.0,614.0,1795.0,613.0,4.925,154700.0,INLAND
-119.53,36.78,20.0,2822.0,479.0,1372.0,455.0,4.5625,136900.0,INLAND
-119.58,36.83,13.0,6135.0,863.0,2473.0,774.0,5.4895,156700.0,INLAND
-119.58,36.77,19.0,3225.0,548.0,1760.0,542.0,4.0227,126500.0,INLAND
-119.59,36.72,18.0,1284.0,193.0,621.0,190.0,4.5375,130600.0,INLAND
-119.5,36.74,20.0,1089.0,208.0,531.0,212.0,4.5938,106900.0,INLAND
-119.61,36.94,14.0,863.0,151.0,315.0,135.0,4.2679,151800.0,INLAND
-119.21,37.25,44.0,3042.0,697.0,335.0,115.0,4.1838,85600.0,INLAND
-118.94,37.13,12.0,2255.0,472.0,1006.0,334.0,4.1563,94000.0,INLAND
-119.32,37.06,15.0,3111.0,651.0,276.0,107.0,5.1314,179200.0,INLAND
-119.62,36.59,17.0,2287.0,390.0,1330.0,393.0,4.0197,88000.0,INLAND
-119.54,36.52,16.0,2703.0,415.0,1106.0,372.0,4.2045,120900.0,INLAND
-119.55,36.51,46.0,55.0,11.0,26.0,5.0,4.125,67500.0,INLAND
-119.54,36.51,36.0,49.0,7.0,28.0,2.0,4.625,162500.0,INLAND
-118.43,37.4,19.0,2460.0,405.0,1225.0,425.0,4.1576,141500.0,INLAND
-118.45,37.37,26.0,3135.0,524.0,1385.0,523.0,4.337,139700.0,INLAND
-118.42,37.35,21.0,3302.0,557.0,1413.0,520.0,4.375,180400.0,INLAND
-119.03,35.45,14.0,3520.0,604.0,1748.0,582.0,4.3162,87100.0,INLAND
-119.02,35.44,29.0,3415.0,631.0,1527.0,597.0,4.0125,84400.0,INLAND
-119.08,35.42,10.0,4159.0,608.0,2089.0,591.0,5.5261,132000.0,INLAND
-119.09,35.41,12.0,3449.0,522.0,1754.0,551.0,5.6235,130600.0,INLAND
-119.11,35.42,52.0,154.0,,37.0,16.0,10.0263,200000.0,INLAND
-119.09,35.43,28.0,254.0,35.0,118.0,37.0,4.8571,237500.0,INLAND
-119.08,35.39,10.0,6435.0,1040.0,3242.0,1030.0,5.575,132200.0,INLAND
-118.99,35.4,43.0,2225.0,392.0,890.0,374.0,4.0208,90400.0,INLAND
-119.0,35.4,44.0,2250.0,378.0,928.0,379.0,4.3906,93900.0,INLAND
-118.94,35.4,14.0,5548.0,941.0,2815.0,935.0,4.2214,104600.0,INLAND
-118.94,35.39,27.0,3074.0,452.0,1223.0,452.0,5.4592,139100.0,INLAND
-118.94,35.39,13.0,3137.0,417.0,1318.0,397.0,7.7751,194100.0,INLAND
-118.94,35.41,10.0,3216.0,526.0,1539.0,483.0,6.3639,143000.0,INLAND
-119.07,35.36,19.0,5254.0,894.0,2155.0,831.0,4.6705,110700.0,INLAND
-119.08,35.36,12.0,6442.0,1116.0,2966.0,1092.0,4.5791,123400.0,INLAND
-119.06,35.36,9.0,1228.0,234.0,409.0,212.0,4.3482,95200.0,INLAND
-119.05,35.34,17.0,2387.0,437.0,1204.0,423.0,4.0529,106200.0,INLAND
-119.07,35.34,16.0,4201.0,786.0,1667.0,724.0,4.8839,134100.0,INLAND
-119.12,35.33,4.0,8574.0,1489.0,4250.0,1444.0,5.1036,103400.0,INLAND
-119.1,35.35,5.0,4597.0,1071.0,1916.0,870.0,4.0327,131000.0,INLAND
-119.08,35.34,18.0,4070.0,512.0,1580.0,540.0,10.5941,245800.0,INLAND
-119.08,35.35,20.0,892.0,129.0,331.0,135.0,7.1837,176300.0,INLAND
-119.09,35.35,14.0,2113.0,256.0,842.0,265.0,8.5325,224100.0,INLAND
-119.08,35.34,16.0,1535.0,238.0,768.0,236.0,5.4449,118500.0,INLAND
-119.08,35.34,15.0,1474.0,235.0,768.0,238.0,4.1528,130100.0,INLAND
-119.1,35.33,4.0,6640.0,898.0,3121.0,902.0,6.759,170300.0,INLAND
-119.08,35.32,8.0,11609.0,2141.0,5696.0,2100.0,5.0012,106300.0,INLAND
-119.09,35.33,9.0,7085.0,1148.0,3084.0,1052.0,4.997,142900.0,INLAND
-119.04,35.31,11.0,2161.0,371.0,1267.0,388.0,4.1957,92700.0,INLAND
-119.05,35.3,9.0,10822.0,1994.0,6241.0,1906.0,4.0631,88200.0,INLAND
-119.03,35.3,10.0,829.0,146.0,447.0,173.0,4.1484,102900.0,INLAND
-119.13,35.22,5.0,6268.0,1003.0,3269.0,980.0,5.1457,118200.0,INLAND
-119.42,35.19,26.0,890.0,172.0,483.0,170.0,4.15,68200.0,INLAND
-119.12,35.41,12.0,5589.0,941.0,3018.0,917.0,4.4561,96900.0,INLAND
-119.12,35.39,13.0,1264.0,202.0,552.0,187.0,4.5903,94300.0,INLAND
-119.19,35.41,12.0,2835.0,471.0,1399.0,413.0,4.4125,149000.0,INLAND
-119.2,35.37,6.0,7383.0,1095.0,3415.0,1059.0,5.3119,157300.0,INLAND
-119.12,35.38,18.0,1521.0,269.0,706.0,279.0,4.4196,121000.0,INLAND
-119.12,35.37,13.0,4527.0,713.0,2170.0,671.0,4.8266,146200.0,INLAND
-119.26,35.5,38.0,2536.0,409.0,1133.0,430.0,4.2375,78600.0,INLAND
-119.23,35.77,26.0,2636.0,468.0,1416.0,485.0,4.1917,84000.0,INLAND
-118.92,35.47,6.0,1755.0,280.0,664.0,254.0,6.2885,216400.0,INLAND
-118.93,35.44,13.0,1439.0,237.0,557.0,227.0,6.1563,204200.0,INLAND
-117.69,35.65,5.0,1131.0,276.0,520.0,232.0,4.0167,87500.0,INLAND
-117.7,35.64,8.0,2683.0,416.0,1154.0,399.0,5.8625,109400.0,INLAND
-117.68,35.64,15.0,3253.0,573.0,1408.0,586.0,5.2043,95700.0,INLAND
-117.67,35.64,6.0,2115.0,342.0,927.0,337.0,6.1935,115700.0,INLAND
-117.68,35.63,18.0,4334.0,641.0,1777.0,661.0,6.0653,105300.0,INLAND
-117.69,35.63,5.0,3151.0,482.0,1335.0,428.0,5.5773,109000.0,INLAND
-117.68,35.6,12.0,1678.0,241.0,765.0,281.0,6.0532,102800.0,INLAND
-117.64,35.61,10.0,2656.0,506.0,1349.0,501.0,4.25,83200.0,INLAND
-117.66,35.62,11.0,5897.0,1138.0,2728.0,1072.0,4.15,85700.0,INLAND
-117.66,35.61,5.0,5735.0,932.0,2623.0,862.0,4.8494,87200.0,INLAND
-117.68,35.55,9.0,3811.0,605.0,1518.0,568.0,5.5551,142500.0,INLAND
-117.87,35.73,13.0,2566.0,449.0,1181.0,414.0,4.1518,91800.0,INLAND
-117.84,35.54,11.0,1751.0,316.0,765.0,296.0,5.0762,98000.0,INLAND
-117.95,35.13,4.0,2630.0,502.0,1150.0,422.0,4.25,104400.0,INLAND
-117.95,35.08,1.0,83.0,15.0,32.0,15.0,4.875,141700.0,INLAND
-117.98,35.1,4.0,923.0,166.0,352.0,135.0,4.5724,84500.0,INLAND
-118.51,35.16,7.0,4371.0,727.0,1932.0,654.0,4.625,136800.0,INLAND
-118.66,35.2,7.0,9664.0,1692.0,3617.0,1370.0,4.0581,162900.0,INLAND
-119.79,36.3,16.0,1717.0,277.0,903.0,289.0,4.3438,93100.0,INLAND
-119.79,36.29,6.0,1265.0,227.0,764.0,246.0,4.2917,104200.0,INLAND
-119.78,36.27,29.0,1871.0,315.0,1066.0,309.0,4.5714,100800.0,INLAND
-119.8,36.29,7.0,479.0,84.0,327.0,103.0,5.1728,107500.0,INLAND
-119.67,36.35,10.0,1090.0,164.0,470.0,158.0,4.9432,118800.0,INLAND
-119.65,36.35,21.0,1745.0,266.0,837.0,292.0,4.3911,107900.0,INLAND
-119.64,36.36,13.0,2360.0,340.0,1055.0,312.0,5.2134,97400.0,INLAND
-119.63,36.35,4.0,1684.0,343.0,920.0,324.0,4.2396,90600.0,INLAND
-119.66,36.33,16.0,2048.0,373.0,1052.0,388.0,4.0909,92800.0,INLAND
-119.77,37.19,8.0,5212.0,872.0,2383.0,857.0,4.1099,113600.0,INLAND
-119.9,36.94,11.0,2513.0,408.0,1360.0,415.0,4.277,98500.0,INLAND
-119.85,36.97,13.0,2872.0,477.0,1607.0,481.0,4.475,102400.0,INLAND
-119.88,36.93,12.0,3174.0,520.0,1590.0,488.0,4.5347,101200.0,INLAND
-119.87,36.93,13.0,1429.0,209.0,702.0,205.0,4.3625,111800.0,INLAND
-119.81,36.92,14.0,4795.0,710.0,2047.0,640.0,4.665,121300.0,INLAND
-118.96,37.64,11.0,3934.0,697.0,901.0,345.0,4.2381,242700.0,INLAND
-118.98,37.65,18.0,1795.0,416.0,483.0,208.0,4.5375,169800.0,INLAND
-118.99,37.65,20.0,2474.0,625.0,338.0,141.0,5.01,195500.0,INLAND
-118.94,36.32,10.0,2271.0,398.0,986.0,358.0,4.0703,147100.0,INLAND
-119.48,36.54,28.0,2112.0,363.0,1011.0,335.0,4.2222,108900.0,INLAND
-119.27,36.39,17.0,2076.0,350.0,998.0,340.0,4.3281,145700.0,INLAND
-119.37,36.35,20.0,1132.0,177.0,518.0,178.0,5.3767,231300.0,INLAND
-119.32,36.33,20.0,1896.0,266.0,674.0,277.0,9.0376,239100.0,INLAND
-119.32,36.33,18.0,2603.0,478.0,1158.0,423.0,4.5938,150500.0,INLAND
-119.34,36.34,5.0,4505.0,834.0,1917.0,775.0,4.0144,126600.0,INLAND
-119.34,36.33,17.0,2250.0,430.0,1218.0,468.0,4.1812,93700.0,INLAND
-119.25,36.36,16.0,3245.0,469.0,1471.0,450.0,5.8673,154800.0,INLAND
-119.16,36.28,18.0,2377.0,414.0,1359.0,424.0,4.4,79300.0,INLAND
-119.27,36.32,6.0,2881.0,518.0,1432.0,504.0,4.0806,110200.0,INLAND
-119.27,36.32,9.0,3631.0,635.0,1881.0,628.0,4.7723,113100.0,INLAND
-119.31,36.32,44.0,2032.0,308.0,791.0,336.0,4.0298,109000.0,INLAND
-119.29,36.31,14.0,2382.0,377.0,1278.0,386.0,5.1896,101900.0,INLAND
-119.3,36.31,16.0,2234.0,357.0,1150.0,361.0,4.2778,97300.0,INLAND
-119.31,36.3,20.0,1256.0,209.0,566.0,195.0,4.0221,86300.0,INLAND
-119.3,36.3,14.0,3023.0,469.0,1523.0,492.0,5.3602,118600.0,INLAND
-119.29,36.3,20.0,1157.0,179.0,572.0,191.0,5.3495,177300.0,INLAND
-119.32,36.32,35.0,2316.0,387.0,849.0,378.0,4.3816,88600.0,INLAND
-119.33,36.32,19.0,2778.0,431.0,1092.0,451.0,5.2561,121300.0,INLAND
-119.33,36.31,17.0,2401.0,409.0,1100.0,409.0,4.0577,107300.0,INLAND
-119.33,36.31,15.0,1472.0,228.0,892.0,257.0,5.3909,113000.0,INLAND
-119.33,36.3,11.0,3045.0,,1563.0,516.0,5.4337,133800.0,INLAND
-119.33,36.3,12.0,2172.0,352.0,1013.0,354.0,4.9464,115600.0,INLAND
-119.33,36.22,9.0,3748.0,644.0,1955.0,620.0,4.2011,108100.0,INLAND
-118.86,35.9,38.0,298.0,55.0,161.0,47.0,4.125,71300.0,INLAND
-119.05,36.09,9.0,3297.0,568.0,1749.0,568.0,4.0217,99200.0,INLAND
-119.06,36.08,19.0,2554.0,443.0,1301.0,419.0,4.1856,72100.0,INLAND
-119.0,36.06,41.0,937.0,158.0,396.0,142.0,4.0833,81300.0,INLAND
-119.93,37.85,18.0,473.0,115.0,88.0,41.0,4.0833,137500.0,INLAND
